0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotions
-678.94885,76.40213,-3.9693217,24.48506,2.3436956,5.3159328,-10.401676,-0.6823523,-17.013817,-3.0636854,-3.4196239,-1.7090509,-2.0180743,-1.9888037,-2.687651,3.6778927,-9.881749,-0.14461902,-1.9599109,-1.9670141,-7.1808953,-1.1898391,-3.557248,-6.1167393,-2.3163683,-2.4090009,-6.313045,0.6831485,-4.1222544,-0.50972545,-2.3634846,-2.5315323,-1.7934619,-4.022706,-1.5779536,-1.5877808,-1.6961296,-2.8550982,-3.6517415,-4.129297,02
-629.50836,54.85913,-15.076416,19.398994,-13.276542,-0.16353467,-8.997267,-4.458826,-9.508459,0.1390205,-5.8764443,-3.669731,-7.0527062,4.731617,-8.901999,0.24706012,-5.11656,-1.3802836,-6.6556215,-0.63966984,-2.6446242,-1.8379008,-0.6121862,-0.07805153,0.7222041,2.1350842,6.1599264,8.034583,11.205152,7.128317,5.524229,3.4067783,3.029715,3.7470224,2.2420862,2.2049398,-1.960129,-1.5605229,-0.78417784,-1.2952569,02
-610.4715,60.676125,-6.567759,22.445854,-2.1449754,2.5397406,-20.668135,0.123319946,-7.860404,-4.2850714,-1.9996921,-2.529734,-8.692389,1.1055928,-11.981728,3.1212096,-8.336932,-0.8641574,-1.1675054,-3.7733521,-5.345971,-1.0498762,-5.4010034,-2.78364,-4.558955,0.33318877,-5.081983,-0.6352042,-2.6605463,-1.3626693,-1.3453825,-2.6345046,-2.2309558,-0.8793813,-1.5824074,-1.8101617,-3.177479,-5.062142,-3.4022171,-2.1515048,02
-632.85834,57.813908,-15.912763,11.7422,-23.51659,-6.8428826,-16.08294,-12.801092,-19.576881,-5.1973305,-8.576664,-6.796384,-9.2946415,1.2286971,-12.425539,-4.6933227,-5.8822265,-3.4199672,-6.502387,1.3079032,-5.304958,-1.0657305,-6.1961145,-2.036709,-3.1421869,-0.46520382,0.5689,-0.67672646,-1.5484949,0.61071026,1.9590564,4.3854556,3.4237344,3.627139,4.8576317,3.7889884,4.7571616,2.2618682,4.300991,-0.5734477,02
-705.80634,72.26668,5.6474605,31.054544,2.0512896,8.60576,-6.789633,4.0414367,-0.34970242,2.5636063,-2.2700238,5.900171,-3.963226,1.8688226,0.7766972,3.1709158,-6.2254477,4.82904,-0.75526357,1.087977,1.025403,-1.6405122,-2.8251226,0.32445303,-0.18623306,1.2759408,-0.6967519,1.7673737,-0.55369693,-1.5966824,1.1055466,-0.41952473,1.3166711,0.03228371,2.2349865,-0.53179413,-0.9427949,-2.5640178,-1.8890653,0.18110363,02
-721.9578,41.139984,-7.118977,16.609999,-7.301321,-7.470555,-21.16592,-0.1689393,-10.415483,0.7195998,-9.12639,-2.8507178,-11.572004,-0.13850375,-7.630848,-0.7201913,-11.217877,-1.8688676,-6.4493937,-8.217658,-2.020375,-4.3275247,-5.5842223,-1.4917666,-6.4525146,-0.33275166,-0.24649395,3.7376826,3.5726573,4.9093966,0.9651471,5.7659006,5.013212,9.347281,8.836182,7.070792,5.2364144,3.7665217,4.1484113,4.7583475,02
-665.39014,83.86138,-2.540329,20.419313,7.1091595,-2.4293828,-12.570617,-3.8575318,-1.332926,-0.093433134,-7.0522084,6.42299,-1.0237198,-2.6764557,-0.30814424,2.7965865,-6.960326,4.858465,-1.8071796,1.296052,-7.271563,-0.22098495,-3.0972226,-2.9909964,-2.343038,2.6246653,-3.2571867,2.6859787,-5.4900846,0.12328952,-3.957372,1.8618515,0.89127916,0.47084543,-2.8315802,-4.371873,-3.4821298,-2.262833,-1.0278186,-0.8555842,02
-673.08777,75.65256,5.1015387,33.970657,-2.750581,5.6489835,-1.0535606,-5.0813375,-9.9451065,0.16657388,-1.9672599,-3.0917387,-3.8894522,2.2890286,-3.910852,0.37514493,-4.7064614,3.123493,-2.1195192,3.232184,-1.7360896,1.798298,-1.4530495,3.3819072,-3.097894,3.5089626,0.7897283,3.283769,3.581216,4.3919716,0.44298822,1.693358,2.7885084,7.1080832,10.466219,10.4237585,7.131916,5.1241274,3.6093533,3.6613944,02
-732.05975,80.879486,6.8231535,25.98693,12.537775,9.483052,-9.878937,0.49814802,-1.308283,4.6712437,-8.746057,6.6492977,-2.8646631,0.91859984,-2.4430578,0.08578891,-0.20049883,0.89639544,-6.9712343,4.078048,-1.8045888,-2.6509886,-5.43476,0.9171139,-3.736678,-0.56176484,-1.4445169,-2.2514124,-1.1531886,-1.3514776,-2.5121343,-1.2123998,-1.2695045,-1.126874,0.38568416,-0.8011079,-2.3097901,-2.166645,-3.5774708,-1.8995438,02
-481.80658,66.14802,-24.69878,27.302835,-12.952918,-2.2777333,-18.124653,-13.122927,-16.783602,-1.7832413,-0.68947,-4.962902,-9.864109,8.727626,-8.367302,3.5114806,-4.8059316,0.58155644,-4.054389,-7.471087,-6.698391,0.88260543,-6.6955967,2.0197523,-0.7581864,-0.6053722,-1.4651779,6.418639,4.0195713,11.385461,8.322202,8.920448,4.4897575,6.255575,0.5117723,2.840387,2.6122131,0.8087398,2.1307392,-1.1506491,02
